Y	tau	Z	SW	alpha
-791852.444979	-180879.866541	-3566.58112253	-23304.5735894	-330.000766409
-791853.520434	-180879.866541	-3568.15375481	-23303.9158411	-330.000766409
-791854.595323	-180879.866541	-3569.71965296	-23303.2030542	-330.000766409
-791855.690311	-180879.866541	-3571.27737714	-23302.3966724	-330.000766409
-791856.808622	-180879.866541	-3572.82511156	-23301.455462	-330.000766409
-791857.800028	-180879.866541	-3574.36565004	-23300.4546656	-330.000766409
-791858.473163	-180879.866541	-3575.91436214	-23299.7457419	-330.000766409
-791859.223838	-180879.866541	-3577.47860011	-23299.1923977	-330.000766409
-791859.844138	-180879.866541	-3579.05512296	-23298.777389	-330.000766409
-791860.495078	-180879.866541	-3580.63199775	-23298.4828525	-330.000766409
-791861.203027	-180879.866541	-3582.20280502	-23298.1437612	-330.000766409
-791861.90194	-180879.866541	-3583.76688569	-23297.7940911	-330.000766409
-791862.582315	-180879.866541	-3585.32408017	-23297.4471713	-330.000766409
-791863.243533	-180879.866541	-3586.8734685	-23297.104423	-330.000766409
-791863.884755	-180879.866541	-3588.4128702	-23296.7662854	-330.000766409
-791864.501656	-180879.866541	-3589.93780249	-23296.435951	-330.000766409
-791865.0781	-180879.866541	-3591.43900674	-23296.1280479	-330.000766409
-791865.5613	-180879.866541	-3592.8976088	-23295.8993833	-330.000766409
